School,Role,Citations,Earliest_Pub,Field_1,Field_2,Major field
California Institute of Technology,Professor,518,1986,Number theory,,Number theory
California Institute of Technology,Professor,1091,1993,Number theory,,Number theory
California Institute of Technology,Professor,193,2012,Number theory,,Number theory
California Institute of Technology,Professor,3984,1972,Mathematical logic and foundations,,Logic
California Institute of Technology,Professor,2102,1991,"Information and communication, circuits",,Computer Science
California Institute of Technology,Professor,1064,1993,"Global analysis, analysis on manifolds",,PDE
California Institute of Technology,Professor,59,2010,"Game theory, economics, social and behavioral sciences",,Applied Math
California Institute of Technology,Professor,712,1981,Functions of a complex variable,,Complex Analysis
California Institute of Technology,Professor,521,1996,Functions of a complex variable,,Complex Analysis
California Institute of Technology,Professor,101,2008,Differential geometry,,Geometry
California Institute of Technology,Professor,545,2006,Combinatorics,,Combinatorics
California Institute of Technology,Professor,1010,1998,Algebraic geometry,,Algebraic Geometry
California Institute of Technology,Professor,165,2009,Algebraic geometry,,Algebraic Geometry
Carnegie Mellon University,Professor,901,1983,"Statistical mechanics, structure of matter",,Mathematical Physics
Carnegie Mellon University,Professor,5682,1976,Probability theory and stochastic processes,,Probability
Carnegie Mellon University,Professor,537,1981,Partial differential equations,,PDE
Carnegie Mellon University,Professor,2088,1982,Partial differential equations,,PDE
Carnegie Mellon University,Professor,473,2003,Partial differential equations,,PDE
Carnegie Mellon University,Professor,204,2004,Partial differential equations,,PDE
Carnegie Mellon University,Professor,723,1969,"Operations research, mathematical programming",,Applied Math
Carnegie Mellon University,Professor,1944,1976,"Operations research, mathematical programming",,Applied Math
Carnegie Mellon University,Professor,281,1998,"Operations research, mathematical programming",,Applied Math
Carnegie Mellon University,Professor,167,1981,Numerical analysis,,Computer Science
Carnegie Mellon University,Professor,684,1987,Numerical analysis,,Computer Science
Carnegie Mellon University,Professor,288,1977,Mathematical logic and foundations,,Logic
Carnegie Mellon University,Professor,371,1983,Mathematical logic and foundations,,Logic
Carnegie Mellon University,Professor,637,1992,Mathematical logic and foundations,,Logic
Carnegie Mellon University,Professor,317,1992,Mathematical logic and foundations,,Logic
Carnegie Mellon University,Professor,854,1989,"Game theory, economics, social and behavioral sciences",,Applied Math
Carnegie Mellon University,Professor,3486,1974,Combinatorics,,Combinatorics
Carnegie Mellon University,Professor,500,1996,Combinatorics,,Combinatorics
Carnegie Mellon University,Professor,2438,1985,Calculus of variations and optimal control; optimization,,Applied Math
Carnegie Mellon University,Professor,3503,1968,Calculus of variations and optimal control; optimization,,Applied Math
Carnegie Mellon University,Professor,1007,1992,Calculus of variations and optimal control; optimization,,Applied Math
Case Western Reserve University,Professor,93,1980,"Topological groups, Lie groups",Quantum theory,Lie Groups
Case Western Reserve University,Professor,228,2005,Probability theory and stochastic processes,,Probability
Case Western Reserve University,Professor,1195,1964,Probability theory and stochastic processes,,Probability
Case Western Reserve University,Professor,111,2003,Probability theory and stochastic processes,,Probability
Case Western Reserve University,Professor,273,1991,Partial differential equations,,PDE
Case Western Reserve University,Professor,23,1965,Operator theory,,Harmonic analysis
Case Western Reserve University,Professor,961,1976,Operator theory,Functional analysis,Harmonic analysis
Case Western Reserve University,Professor,1684,1986,Numerical analysis,,Computer Science
Case Western Reserve University,Professor,17,1983,"Integral transforms, operational calculus",,Analysis
Case Western Reserve University,Professor,592,1970,"Global analysis, analysis on manifolds",,PDE
Case Western Reserve University,Professor,316,1980,"Global analysis, analysis on manifolds",,PDE
Case Western Reserve University,Professor,637,1980,"Global analysis, analysis on manifolds",,PDE
Case Western Reserve University,Professor,1099,1988,Convex and discrete geometry,,Geometry
Case Western Reserve University,Professor,66,1983,Category theory; homological algebra,,Algebra
Case Western Reserve University,Professor,35,2000,Biology and other natural sciences,,Applied Math
Clemson University,Professor,4,1993,Statistics,,Statistics
Clemson University,Professor,67,1997,Statistics,,Statistics
Clemson University,Professor,77,1998,Statistics,,Statistics
Clemson University,Professor,4,1996,Other,,Other
Clemson University,Professor,239,1984,"Operations research, mathematical programming",,Applied Math
Clemson University,Professor,583,1986,"Operations research, mathematical programming",,Applied Math
Clemson University,Professor,14,1987,"Operations research, mathematical programming",,Applied Math
Clemson University,Professor,300,1997,Numerical analysis,,Computer Science
Clemson University,Professor,1057,1984,Numerical analysis,,Computer Science
Clemson University,Professor,57,2000,Numerical analysis,,Computer Science
Clemson University,Professor,860,2006,Numerical analysis,,Computer Science
Clemson University,Professor,348,1988,Number theory,,Number theory
Clemson University,Professor,526,1989,Number theory,,Number theory
Clemson University,Professor,212,1997,Number theory,,Number theory
Clemson University,Professor,258,1995,Commutative rings and algebras,,Algebra
Clemson University,Professor,539,2000,Commutative rings and algebras,,Algebra
Clemson University,Professor,880,1986,Combinatorics,,Combinatorics
Colorado State University,Professor,2730,1989,Systems theory; control,,Applied Math
Colorado State University,Professor,880,1978,Probability theory and stochastic processes,,Probability
Colorado State University,Professor,525,1997,Partial differential equations,,PDE
Colorado State University,Professor,1011,1982,"Optics, electromagnetic theory",,Mathematical Physics
Colorado State University,Professor,115,1991,"Operations research, mathematical programming",,Applied Math
Colorado State University,Professor,921,1999,Numerical analysis,,Computer Science
Colorado State University,Professor,228,2000,Numerical analysis,,Computer Science
Colorado State University,Professor,153,1998,Number theory,,Number theory
Colorado State University,Professor,67,1980,Manifolds and cell complexes,,Geometry
Colorado State University,Professor,102,1973,"Information and communication, circuits",,Computer Science
Colorado State University,Professor,186,1995,Group theory and generalizations,,Group theory
Colorado State University,Professor,176,1979,"Global analysis, analysis on manifolds",,PDE
Colorado State University,Professor,1906,1996,Fourier analysis,,Harmonic analysis
Colorado State University,Professor,0,2001,Biology and other natural sciences,,Applied Math
Colorado State University,Professor,212,2000,Algebraic geometry,,Algebraic Geometry
Colorado State University,Professor,1148,1980,Algebraic geometry,,Algebraic Geometry
Colorado State University,Professor,380,1993,Algebraic geometry,,Algebraic Geometry
Columbia University in the City of New York,Professor,1196,2008,"Statistical mechanics, structure of matter",,Mathematical Physics
Columbia University in the City of New York,Professor,1870,1977,Several complex variables and analytic spaces,,Complex Analysis
Columbia University in the City of New York,Professor,488,1986,Several complex variables and analytic spaces,,Complex Analysis
Columbia University in the City of New York,Professor,6364,1980,Probability theory and stochastic processes,,Probability
Columbia University in the City of New York,Professor,263,2003,Probability theory and stochastic processes,,Probability
Columbia University in the City of New York,Professor,613,1992,Partial differential equations,,PDE
Columbia University in the City of New York,Professor,3908,1982,Partial differential equations,,PDE
Columbia University in the City of New York,Professor,1149,2000,Partial differential equations,,PDE
Columbia University in the City of New York,Professor,1073,1968,Number theory,,Number theory
Columbia University in the City of New York,Professor,1954,1977,Number theory,,Number theory
Columbia University in the City of New York,Professor,315,1995,Number theory,,Number theory
Columbia University in the City of New York,Professor,2306,1968,Manifolds and cell complexes,,Geometry
Columbia University in the City of New York,Professor,2461,1995,Manifolds and cell complexes,,Geometry
Columbia University in the City of New York,Professor,2118,1971,"Global analysis, analysis on manifolds",,PDE
Columbia University in the City of New York,Professor,3749,1969,Differential geometry,,Geometry
Columbia University in the City of New York,Professor,4350,1966,Differential geometry,,Geometry
Columbia University in the City of New York,Professor,735,1997,Differential geometry,,Geometry
Columbia University in the City of New York,Professor,1559,2000,Differential geometry,,Geometry
Columbia University in the City of New York,Professor,465,2006,Differential geometry,,Geometry
Columbia University in the City of New York,Professor,972,1982,Commutative rings and algebras,,Algebra
Columbia University in the City of New York,Professor,614,2001,Algebraic geometry,,Algebraic Geometry
Columbia University in the City of New York,Professor,301,1974,Algebraic geometry,,Algebraic Geometry
Columbia University in the City of New York,Professor,1191,1981,Algebraic geometry,,Algebraic Geometry
Columbia University in the City of New York,Professor,1154,1990,Algebraic geometry,,Algebraic Geometry
Columbia University in the City of New York,Professor,495,1992,Algebraic geometry,,Algebraic Geometry
Columbia University in the City of New York,Professor,3362,1994,Algebraic geometry,,Algebraic Geometry
Cornell University,Professor,287,1977,"Topological groups, Lie groups",,Lie Groups
Cornell University,Professor,785,1976,"Topological groups, Lie groups",,Lie Groups
Cornell University,Professor,455,1976,Statistics,,Statistics
Cornell University,Professor,668,1996,Statistics,,Statistics
Cornell University,Professor,4124,1983,Probability theory and stochastic processes,,Probability
Cornell University,Professor,241,1970,Ordinary differential equations,"Global analysis, analysis on manifolds",Analysis
Cornell University,Professor,386,2000,Numerical analysis,,Computer Science
Cornell University,Professor,215,1992,Number theory,,Number theory
Cornell University,Professor,273,1988,Mechanics of deformable solids,,Applied Math
Cornell University,Professor,503,1956,Mathematical logic and foundations,,Logic
Cornell University,Professor,1048,1971,Mathematical logic and foundations,,Logic
Cornell University,Professor,736,1989,Mathematical logic and foundations,,Logic
Cornell University,Professor,325,1995,Mathematical logic and foundations,,Logic
Cornell University,Professor,274,1967,Manifolds and cell complexes,,Geometry
Cornell University,Professor,203,2002,Manifolds and cell complexes,,Geometry
Cornell University,Professor,343,2003,Group theory and generalizations,,Group theory
Cornell University,Professor,2084,1960,"Global analysis, analysis on manifolds",,PDE
Cornell University,Professor,617,1991,"Global analysis, analysis on manifolds",Differential geometry,PDE
Cornell University,Professor,3860,1965,Functional analysis,,Harmonic analysis
Cornell University,Professor,606,1993,Fourier analysis,,Harmonic analysis
Cornell University,Professor,211,1963,Field theory and polynomials,,Algebra
Cornell University,Professor,1036,1983,Dynamical systems and ergodic theory,,Dynamics
Cornell University,Professor,221,1998,Differential geometry,,Geometry
Cornell University,Professor,375,2005,Differential geometry,,Geometry
Cornell University,Professor,743,1970,Convex and discrete geometry,,Geometry
Cornell University,Professor,898,1989,Commutative rings and algebras,,Algebra
Cornell University,Professor,654,1983,Commutative rings and algebras,,Algebra
Cornell University,Professor,756,1997,Combinatorics,Associative rings and algebras,Combinatorics
Cornell University,Professor,249,1999,Combinatorics,,Combinatorics
Cornell University,Professor,222,1970,Category theory; homological algebra,Associative rings and algebras,Algebra
Cornell University,Professor,587,1991,Associative rings and algebras,,Algebra
Cornell University,Professor,1010,1996,Algebraic geometry,,Algebraic Geometry
CUNY Graduate School and University Center,Professor,170,2005,Statistics,,Statistics
CUNY Graduate School and University Center,Professor,122,1999,Several complex variables and analytic spaces,,Complex Analysis
CUNY Graduate School and University Center,Professor,424,1971,Probability theory and stochastic processes,,Probability
CUNY Graduate School and University Center,Professor,269,1989,Probability theory and stochastic processes,,Probability
CUNY Graduate School and University Center,Professor,365,1999,Partial differential equations,,PDE
CUNY Graduate School and University Center,Professor,452,1979,Numerical analysis,,Computer Science
CUNY Graduate School and University Center,Professor,1710,1958,Numerical analysis,,Computer Science
CUNY Graduate School and University Center,Professor,82,1999,Numerical analysis,,Computer Science
CUNY Graduate School and University Center,Professor,22,2000,Number theory,Group theory and generalizations,Number theory
CUNY Graduate School and University Center,Professor,1363,1971,Number theory,,Number theory
CUNY Graduate School and University Center,Professor,380,1978,Number theory,,Number theory
CUNY Graduate School and University Center,Professor,486,1989,Number theory,,Number theory
CUNY Graduate School and University Center,Professor,191,1998,Number theory,,Number theory
CUNY Graduate School and University Center,Professor,663,1999,Number theory,,Number theory
CUNY Graduate School and University Center,Professor,141,1999,Number theory,,Number theory
CUNY Graduate School and University Center,Professor,256,2000,Number theory,,Number theory
CUNY Graduate School and University Center,Professor,139,2000,Number theory,,Number theory
CUNY Graduate School and University Center,Professor,23,2004,Number theory,,Number theory
CUNY Graduate School and University Center,Professor,179,1978,Nonassociative rings and algebras,,Algebra
CUNY Graduate School and University Center,Professor,78,2006,Nonassociative rings and algebras,,Algebra
CUNY Graduate School and University Center,Professor,31,2001,Nonassociative rings and algebras,,Algebra
CUNY Graduate School and University Center,Professor,477,1962,Mathematical logic and foundations,,Logic
CUNY Graduate School and University Center,Professor,648,1978,Mathematical logic and foundations,,Logic
CUNY Graduate School and University Center,Professor,331,1980,Mathematical logic and foundations,,Logic
CUNY Graduate School and University Center,Professor,162,1980,Mathematical logic and foundations,,Logic
CUNY Graduate School and University Center,Professor,410,2000,Mathematical logic and foundations,,Logic
CUNY Graduate School and University Center,Professor,221,2000,Manifolds and cell complexes,,Geometry
CUNY Graduate School and University Center,Professor,215,2000,Manifolds and cell complexes,,Geometry
CUNY Graduate School and University Center,Professor,126,2001,Manifolds and cell complexes,,Geometry
CUNY Graduate School and University Center,Professor,660,1957,Linear and multilinear algebra; matrix theory,,Algebra
CUNY Graduate School and University Center,Professor,828,1981,Group theory and generalizations,,Group theory
CUNY Graduate School and University Center,Professor,1211,1975,Group theory and generalizations,,Group theory
CUNY Graduate School and University Center,Professor,2265,1981,Group theory and generalizations,,Group theory
CUNY Graduate School and University Center,Professor,245,1992,Group theory and generalizations,,Group theory
CUNY Graduate School and University Center,Professor,1135,1994,Group theory and generalizations,,Group theory
CUNY Graduate School and University Center,Professor,501,2004,Group theory and generalizations,,Group theory
CUNY Graduate School and University Center,Professor,4515,1967,"Global analysis, analysis on manifolds",,PDE
CUNY Graduate School and University Center,Professor,915,1969,"Global analysis, analysis on manifolds",,PDE
CUNY Graduate School and University Center,Professor,221,1971,"Global analysis, analysis on manifolds",,PDE
CUNY Graduate School and University Center,Professor,452,1983,"Global analysis, analysis on manifolds",Quantum theory,PDE
CUNY Graduate School and University Center,Professor,158,2002,"Global analysis, analysis on manifolds",,PDE
CUNY Graduate School and University Center,Professor,130,2000,"Game theory, economics, social and behavioral sciences",,Applied Math
CUNY Graduate School and University Center,Professor,29,2006,"Game theory, economics, social and behavioral sciences",Associative rings and algebras,Applied Math
CUNY Graduate School and University Center,Professor,30,1985,Functions of a complex variable,,Complex Analysis
CUNY Graduate School and University Center,Professor,132,1987,Functions of a complex variable,,Complex Analysis
CUNY Graduate School and University Center,Professor,98,2000,Functions of a complex variable,,Complex Analysis
CUNY Graduate School and University Center,Professor,480,1964,Fourier analysis,,Harmonic analysis
CUNY Graduate School and University Center,Professor,215,2004,Field theory and polynomials,,Algebra
CUNY Graduate School and University Center,Professor,303,1985,Dynamical systems and ergodic theory,,Dynamics
CUNY Graduate School and University Center,Professor,1019,1997,Dynamical systems and ergodic theory,,Dynamics
CUNY Graduate School and University Center,Professor,156,1998,Dynamical systems and ergodic theory,,Dynamics
CUNY Graduate School and University Center,Professor,156,1999,Dynamical systems and ergodic theory,,Dynamics
CUNY Graduate School and University Center,Professor,129,2000,Dynamical systems and ergodic theory,,Dynamics
CUNY Graduate School and University Center,Professor,282,1996,Differential geometry,,Geometry
CUNY Graduate School and University Center,Professor,49,1971,Combinatorics,,Combinatorics
CUNY Graduate School and University Center,Professor,257,2002,Combinatorics,,Combinatorics
CUNY Graduate School and University Center,Professor,170,1988,Calculus of variations and optimal control; optimization,,Applied Math
CUNY Graduate School and University Center,Professor,380,1971,Algebraic topology,,Algebra
CUNY Graduate School and University Center,Professor,234,1973,Algebraic geometry,,Algebraic Geometry
CUNY Graduate School and University Center,Professor,62,1999,Algebraic geometry,,Algebraic Geometry
Dartmouth College,Professor,616,1996,Numerical analysis,,Computer Science
Dartmouth College,Professor,43,1982,Number theory,,Number theory
Dartmouth College,Professor,94,1979,Number theory,,Number theory
Dartmouth College,Professor,70,1981,Mathematical logic and foundations,,Logic
Dartmouth College,Professor,152,1997,Manifolds and cell complexes,,Geometry
Dartmouth College,Professor,526,1982,"Information and communication, circuits",,Computer Science
Dartmouth College,Professor,507,1989,Group theory and generalizations,,Group theory
Dartmouth College,Professor,1000,1979,"Global analysis, analysis on manifolds",,PDE
Dartmouth College,Professor,262,1983,"Global analysis, analysis on manifolds",,PDE
Dartmouth College,Professor,1570,1979,Functional analysis,,Harmonic analysis
Dartmouth College,Professor,506,1998,Differential geometry,,Geometry
Dartmouth College,Professor,171,1999,Combinatorics,,Combinatorics
Dartmouth College,Professor,1209,1975,Combinatorics,,Combinatorics
Dartmouth College,Professor,91,1979,Combinatorics,,Combinatorics
Dartmouth College,Professor,471,2003,Combinatorics,,Combinatorics
Drexel University,Professor,103,1974,"Topological groups, Lie groups",,Lie Groups
Drexel University,Professor,428,1984,Probability theory and stochastic processes,,Probability
Drexel University,Professor,476,2002,Partial differential equations,,PDE
Drexel University,Professor,187,1999,Ordinary differential equations,,Analysis
Drexel University,Professor,475,1996,"Optics, electromagnetic theory",,Mathematical Physics
Drexel University,Professor,609,1987,Operator theory,,Harmonic analysis
Drexel University,Professor,225,1994,Operator theory,,Harmonic analysis
Drexel University,Professor,150,1988,Number theory,,Number theory
Drexel University,Professor,271,1999,Fourier analysis,,Harmonic analysis
Drexel University,Professor,1,1995,Differential geometry,,Geometry
Duke University,Professor,147,1974,Several complex variables and analytic spaces,,Complex Analysis
Duke University,Professor,164,1984,Several complex variables and analytic spaces,,Complex Analysis
Duke University,Professor,136,1991,Relativity and gravitational theory,,Mathematical Physics
Duke University,Professor,569,1987,Quantum theory,,Mathematical Physics
Duke University,Professor,4087,1976,Probability theory and stochastic processes,,Probability
Duke University,Professor,1393,1997,Probability theory and stochastic processes,,Probability
Duke University,Professor,1494,1982,Partial differential equations,,PDE
Duke University,Professor,1990,1991,Partial differential equations,,PDE
Duke University,Professor,7688,1968,Operator theory,,Harmonic analysis
Duke University,Professor,1637,1978,Manifolds and cell complexes,,Geometry
Duke University,Professor,586,1997,Manifolds and cell complexes,,Geometry
Duke University,Professor,2384,1980,"Information and communication, circuits",,Computer Science
Duke University,Professor,6860,1977,Fourier analysis,,Harmonic analysis
Duke University,Professor,2364,1990,Fluid mechanics,Partial differential equations,Applied Math
Duke University,Professor,468,1994,Fluid mechanics,,Applied Math
Duke University,Professor,2346,1979,Differential geometry,,Geometry
Duke University,Professor,538,1997,Differential geometry,,Geometry
Duke University,Professor,216,1998,Differential geometry,,Geometry
Duke University,Professor,249,2000,Computer science,,Computer Science
Duke University,Professor,1329,1998,Commutative rings and algebras,,Algebra
Duke University,Professor,76,2005,Algebraic geometry,,Algebraic Geometry
Duke University,Professor,804,1976,Algebraic geometry,,Algebraic Geometry
Duke University,Professor,130,1984,Algebraic geometry,,Algebraic Geometry
Duke University,Professor,342,1985,Algebraic geometry,,Algebraic Geometry
Emory University,Professor,327,1977,"Order, lattices, ordered algebraic structures",,Algebra
Emory University,Professor,733,1991,Numerical analysis,,Computer Science
Emory University,Professor,695,1975,Number theory,,Number theory
Emory University,Professor,249,1993,Number theory,,Number theory
Emory University,Professor,414,1992,"Global analysis, analysis on manifolds",,PDE
Emory University,Professor,74,1995,Functions of a complex variable,,Complex Analysis
Emory University,Professor,769,1994,Fluid mechanics,,Applied Math
Emory University,Professor,670,1968,Differential geometry,,Geometry
Emory University,Professor,4404,1973,Combinatorics,,Combinatorics
Emory University,Professor,304,1985,Algebraic geometry,,Algebraic Geometry
Florida Institute University,Professor,19,1992,Statistics,,Statistics
Florida Institute University,Professor,89,1982,Statistics,,Statistics
Florida Institute University,Professor,25,1984,Statistics,,Statistics
Florida Institute University,Professor,16,1993,Statistics,,Statistics
Florida Institute University,Professor,83,1993,Statistics,,Statistics
Florida Institute University,Professor,330,1987,Several complex variables and analytic spaces,,Complex Analysis
Florida Institute University,Professor,498,2002,Partial differential equations,,PDE
Florida Institute University,Professor,47,1984,Partial differential equations,,PDE
Florida Institute University,Professor,189,1986,Partial differential equations,,PDE
Florida Institute University,Professor,84,1989,Partial differential equations,"Global analysis, analysis on manifolds",PDE
Florida Institute University,Professor,307,1994,Partial differential equations,Systems theory; control,PDE
Florida Institute University,Professor,263,1995,Partial differential equations,,PDE
Florida Institute University,Professor,1605,1999,Partial differential equations,,PDE
Florida Institute University,Professor,140,1994,Manifolds and cell complexes,,Geometry
Florida Institute University,Professor,188,1989,Functions of a complex variable,,Complex Analysis
Florida Institute University,Professor,107,1992,Fourier analysis,Partial differential equations,Harmonic analysis
Florida Institute University,Professor,316,1990,Differential geometry,,Geometry
Florida Institute University,Professor,75,1991,Differential geometry,,Geometry
Florida State Universty,Professor,170,1999,Several complex variables and analytic spaces,,Complex Analysis
